index,pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_mass,st_rad,sy_dist,sy_vmag,rastr,decstr
277,TOI-2015 b,TOI-2015,Transit,2023,3.348968,3.39,16.4,512,3194,0.34,0.33,47.3444,16.11,15h28m31.84s,+27d21m39.86s
278,TOI-2018 b,TOI-2018,Transit,2023,7.435583,2.268,9.2,,4174,0.57,0.62,27.9956,10.25,15h19m20.99s,+29d12m28.36s
279,TOI-2019 b,TOI-2019,Transit,2024,15.3444,5.333,34.4,917,5626,1.18,1.75,198.007,10.263,15h37m43.62s,+48d57m18.74s
280,TOI-2025 b,TOI-2025,Transit,2022,8.8720982,11.893,1144.18227,1166,5977,1.2,1.46,335.985,11.599,18h51m10.86s,+82d14m43.49s
281,TOI-2046 b,TOI-2046,Transit,2022,1.4971842,16.141,731.00534,,6250,1.13,1.21,289.668,11.552,01h04m44.39s,+74d19m52.70s
282,TOI-2048 b,TOI-2048,Transit,2022,13.79019,2.61,,,5185,0.83,0.79,116.567,11.431,15h51m41.79s,+52d18m22.71s
283,TOI-206 b,TOI-206,Transit,2022,0.7363104,1.3,,910,3383,0.35,0.35,47.7465,14.938,04h54m57.17s,-62d31m18.75s
284,TOI-2068 b,TOI-2068,Transit,2024,7.768915,1.821,,521,3710,0.56,0.54,52.9328,13.007,12h25m05.65s,+60d25m06.04s
285,TOI-2076 b,TOI-2076,Transit,2021,10.355096,2.771,16.1,688,5192,0.86,0.8,41.9091,9.139,14h29m34.08s,+39d47m25.44s
286,TOI-2076 c,TOI-2076,Transit,2021,21.015327,3.694,55,543,5192,0.86,0.8,41.9091,9.139,14h29m34.08s,+39d47m25.44s
287,TOI-2076 d,TOI-2076,Transit,2021,35.125686,3.431,29,458,5192,0.86,0.8,41.9091,9.139,14h29m34.08s,+39d47m25.44s
288,TOI-2081 b,TOI-2081,Transit,2022,10.50534,2.04,,488,3800,0.54,0.53,62.3446,13.369,17h37m12.54s,+53d01m32.04s
289,TOI-2084 b,TOI-2084,Transit,2023,6.0784247,2.47,,527,3551,0.45,0.47,114.549,15.115,17h17m01.09s,+72d44m49.28s
290,TOI-2088 b,TOI-2088,Transit,2024,124.72997,3.683,37,300,5081,0.9,0.85,126.46,11.638,17h25m29.97s,+75d52m56.21s
291,TOI-2095 b,TOI-2095,Transit,2023,17.66484,1.25,4.1,347,3759,0.44,0.44,41.9176,13.19,19h02m32.77s,+75d25m06.65s
292,TOI-2095 c,TOI-2095,Transit,2023,28.17232,1.33,7.4,297,3759,0.44,0.44,41.9176,13.19,19h02m32.77s,+75d25m06.65s
293,TOI-2096 b,TOI-2096,Transit,2023,3.1190633,1.243,,445,3300,0.23,0.23,48.4809,15.92,10h06m28.49s,+74d49m37.96s
294,TOI-2096 c,TOI-2096,Transit,2023,6.38784,1.914,,349,3300,0.23,0.23,48.4809,15.92,10h06m28.49s,+74d49m37.96s
295,TOI-2107 b,TOI-2107,Transit,2024,2.4545467,13.574,263.79758,1397,5627,0.96,0.93,236.705,12.0363,19h07m11.17s,-58d41m48.61s
296,TOI-2109 b,TOI-2109,Transit,2021,0.67247414,15.098,1595.4986,3646,6540,1.45,1.7,262.041,10.217,16h52m44.71s,+16d34m47.70s
297,TOI-2120 b,TOI-2120,Transit,2024,5.7998164,2.122,6.8,384,3131,0.21,0.24,32.1755,15.648,01h34m01.76s,+65d30m50.36s
298,TOI-2128 b,TOI-2128,Transit,2024,16.34136,2.089,4.5,781,5968,1.03,1.12,36.578,7.22142,17h07m55.63s,+32d06m19.09s
299,TOI-2134 b,TOI-2134,Transit,2023,9.2292005,2.69,9.13,666,4580,0.74,0.71,22.6202,8.933,18h07m44.52s,+39d04m22.54s
300,TOI-2134 c,TOI-2134,Transit,2023,95.5,7.27,41.89,306,4580,0.74,0.71,22.6202,8.933,18h07m44.52s,+39d04m22.54s
301,TOI-2136 b,TOI-2136,Transit,2022,7.851928,2.19,6.37,395,3342,0.34,0.34,33.3631,14.32,18h44m42.32s,+36d33m47.27s
302,TOI-2141 b,TOI-2141,Transit,2023,18.26157,3.05,24,722,5659,0.94,0.98,77.682,9.46,17h15m02.96s,+18d20m25.24s
303,TOI-2145 b,TOI-2145,Transit,2023,10.261127,12.419,1767,1363,6200,1.72,2.75,224.731,9.07,17h35m01.94s,+40d41m42.15s
304,TOI-2152 A b,TOI-2152,Transit,2023,3.3773512,14.359,899.45439,1802,6630,1.52,1.61,303.006,11.436,01h45m21.35s,+77d47m24.44s
305,TOI-2154 b,TOI-2154,Transit,2023,3.8240801,16.287,292.40213,1580,6280,1.23,1.4,296.46,11.068,04h44m06.76s,+84d21m51.35s
306,TOI-2158 b,TOI-2158,Transit,2022,8.60077,10.761,260.61929,1188,5673,1.12,1.41,198.473,10.887,18h27m14.41s,+20d31m36.79s
307,TOI-216.01,TOI-216,Transit,2019,34.525528,10.1,177.98391,,,0.77,0.75,177.945,12.324,04h55m55.20s,-63d15m37.19s
308,TOI-216.02,TOI-216,Transit,2019,17.16073,8,18.75188,,,0.77,0.75,177.945,12.324,04h55m55.20s,-63d15m37.19s
309,TOI-2180 b,TOI-2180,Transit,2022,260.79,11.321,875.61726,348,5695,1.11,1.64,116.685,9.162,18h31m46.47s,+56d39m02.44s
310,TOI-2184 b,TOI-2184,Transit,2022,6.90683,11.4,206.58846,,5966,1.53,2.9,788.317,12.254,06h43m19.95s,-66d56m51.56s
311,TOI-2193 A b,TOI-2193 A,Transit,2022,2.1225735,19.84,298.7587,1763,5966,1.08,1.25,337.064,11.976,20h54m45.90s,-72d48m16.71s
312,TOI-2194 b,TOI-2194,Transit,2023,15.337597,1.989,,591,4756,0.74,0.69,19.5711,8.42,19h56m37.52s,-31d20m06.65s
313,TOI-2196 b,TOI-2196,Transit,2022,1.1947268,3.51,26,1860,5634,1.03,1.04,259.947,12.297,20h49m21.62s,-70d29m06.26s
314,TOI-220 b,TOI-220,Transit,2021,10.695264,3.03,13.8,805,5298,0.82,0.86,90.7402,10.466,06h07m11.93s,-61d59m49.96s
315,TOI-2202 b,TOI-2202,Transit,2021,11.9101,11.321,310.83618,,5144,0.82,0.79,235.933,13.004,03h24m54.82s,-73d57m27.16s
316,TOI-2207 b,TOI-2207,Transit,2022,8.001968,11.153,203.41018,1259,6101,1.3,1.56,373.345,11.316,20h30m23.21s,-44d53m15.43s
317,TOI-2236 b,TOI-2236,Transit,2022,3.5315902,14.37,502.16888,1688,6248,1.34,1.57,355.59,11.6,01h20m39.84s,-86d58m47.87s
318,TOI-2257 b,TOI-2257,Transit,2021,35.189346,2.194,,256,3430,0.33,0.31,57.7911,15.211,12h58m57.51s,+77d39m42.18s
319,TOI-2260 b,TOI-2260,Transit,2022,0.3524728,1.62,,2609,5534,0.99,0.94,101.251,10.474,16h30m40.08s,+49d02m48.44s
320,TOI-2266 b,TOI-2266,Transit,2024,2.326318,1.54,,550,3200,0.23,0.24,51.6004,16.54,16h21m07.21s,+31d34m37.35s
321,TOI-2285 b,TOI-2285,Transit,2021,27.26955,1.74,19.5,284,3491,0.45,0.46,42.409,13.403,22h10m15.18s,+58d42m21.94s
322,TOI-2337 b,TOI-2337,Transit,2022,2.99432,10.088,508.52545,,4780,1.32,3.22,536.046,12.524,19h22m28.77s,+60d51m14.05s
323,TOI-2338 b,TOI-2338,Transit,2023,22.65398,11.209,1900.61387,799,5581,0.99,1.05,313.996,12.483,05h25m22.70s,-34d40m05.70s
324,TOI-2364 b,TOI-2364,Transit,2023,4.0197517,8.608,71.51139,1091,5306,0.95,0.89,219.614,12.234,05h56m31.21s,-05d00m43.31s
325,TOI-2368 b,TOI-2368,Transit,2024,5.1750073,10.839,206.58846,1000,5360,0.9,0.85,210.915,12.486,08h59m49.83s,-48d29m18.57s
326,TOI-237 b,TOI-237,Transit,2020,5.436098,1.44,,388,3212,0.18,0.21,38.0749,16.37,23h32m58.45s,-29d24m59.35s
327,TOI-2373 b,TOI-2373,Transit,2023,13.33668,10.424,2955.80419,860,5651,1.04,1.1,508.686,13.251,04h06m44.69s,-16d45m20.72s
328,TOI-2374 b,TOI-2374,Transit,2024,4.31361,6.81,56.64,885,4802,0.75,0.69,134.655,12.095,21h17m59.58s,-22d02m59.36s
329,TOI-238 b,TOI-238,Transit,2024,1.273114,1.612,,1457,5080,0.79,0.75,80.5407,10.748,23h16m55.46s,-18d36m23.93s
330,TOI-2406 b,TOI-2406,Transit,2021,3.0766891,2.86,15.6,449,3100,0.17,0.2,55.419,,00h35m13.45s,-03d22m19.50s
331,TOI-2411 b,TOI-2411,Transit,2022,0.7826942,1.68,,1355,4099,0.65,0.68,59.5362,11.272,01h23m41.39s,-08d42m06.46s
332,TOI-2416 b,TOI-2416,Transit,2023,8.275479,9.864,953.48522,1080,5808,1.12,1.24,557.733,13.019,03h49m21.35s,-60d47m13.87s
333,TOI-2421 b,TOI-2421,Transit,2022,4.3474032,10.368,105.83686,1534,5607,1.13,1.75,327.927,11.419,02h12m36.96s,-35d23m27.31s
334,TOI-2427 b,TOI-2427,Transit,2022,1.3060011,1.8,,1117,4072,0.64,0.65,28.5147,10.295,03h29m10.02s,-31d21m46.32s
335,TOI-244 b,TOI-244,Transit,2023,7.397225,1.52,2.68,458,3433,0.43,0.43,22.0337,12.861,00h42m16.74s,-36d43m04.71s
336,TOI-2443 b,TOI-2443,Transit,2023,15.669494,2.773,,601,4357,0.66,0.73,23.9258,9.51,02h40m43.17s,+01d11m58.83s
337,TOI-2445 b,TOI-2445,Transit,2022,0.3711281,1.25,,1060,3333,0.25,0.27,48.582,15.692,02h53m15.88s,+00d03m08.41s
338,TOI-2447 b,TOI-2447,Transit,2024,69.33684,9.606,124.90656,414,5730,1.03,1.01,148.987,10.507,04h43m59.42s,-31d54m23.89s
339,TOI-2459 b,TOI-2459,Transit,2023,19.104718,2.953,,445,4195,0.66,0.68,36.6113,10.772,05h28m34.40s,-39d22m22.96s
340,TOI-2497 b,TOI-2497,Transit,2023,10.655669,11.142,1531.93292,1595,7360,1.86,2.36,285.289,9.547,06h00m15.02s,+11d53m02.61s
341,TOI-2498 b,TOI-2498,Transit,2023,3.738252,6.06,34.62,1443,5905,1.12,1.26,275.265,11.196,06h21m39.89s,+11d15m05.93s
342,TOI-251 b,TOI-251,Transit,2021,4.93777,2.74,317.83,,5875,1.04,0.88,99.523,9.887,23h32m14.90s,-37d15m21.11s
343,TOI-2524 b,TOI-2524,Transit,2023,7.18585,11.209,203.41018,1100,5831,1.01,1.12,438.842,12.8,10h43m32.84s,-01d54m45.71s
344,TOI-2525 b,TOI-2525,Transit,2023,23.2856,8.676,26.69759,,5096,0.85,0.79,395.398,14.216,05h47m24.23s,-60d31m16.71s
345,TOI-2525 c,TOI-2525,Transit,2023,49.2519,10.133,208.81326,,5096,0.85,0.79,395.398,14.216,05h47m24.23s,-60d31m16.71s
346,TOI-2529 b,TOI-2529,Transit,2024,64.5949,11.545,743.71847,636,5802,1.11,1.7,296.271,11.529,07h55m58.69s,-52d21m17.40s
347,TOI-2545 b,TOI-2545,Transit,2022,7.994037,2.75,,,5846.29,1.05,1.25,107.118,9.521,09h02m10.99s,-03d25m14.95s
348,TOI-2567 b,TOI-2567,Transit,2022,5.983944,10.929,63.88351,1352,5611,1.13,1.69,504.775,12.3,19h13m51.76s,+66d20m52.58s
349,TOI-257 b,TOI-257,Transit,2021,18.38818,7.163,43.86032,1027,6095,1.41,1.87,76.9028,7.57,03h10m04.14s,-50d49m56.15s
350,TOI-2570 b,TOI-2570,Transit,2022,2.9887615,13.641,260.61929,1431,5771,1.06,1.09,361.857,12.569,05h48m45.13s,+32d05m02.56s
351,TOI-2583 A b,TOI-2583 A,Transit,2023,4.5207265,14.46,79.4571,1456,5936,1.22,1.48,566.189,12.586,18h09m04.09s,+45d20m12.84s
352,TOI-2587 A b,TOI-2587 A,Transit,2023,5.45664,12.072,69.28659,1445,5760,1.15,1.73,373.675,11.544,07h43m43.61s,-01d04m24.00s
353,TOI-2589 b,TOI-2589,Transit,2023,61.6277,12.106,1112.39942,592,5579,0.93,1.07,200.273,11.415,07h09m57.16s,-37d13m51.41s
354,TOI-260 b,TOI-260,Transit,2024,13.475853,1.71,4.23,493,4026,0.62,0.61,20.1852,9.9,00h19m05.52s,-09d57m58.14s
355,TOI-261.01,TOI-261,Transit,2024,3.3639254,3.045,,1722,5890.3,0.5,1.28,114.495,9.56,01h00m52.35s,-24d25m26.38s
356,TOI-262 b,TOI-262,Transit,2023,11.14529,2.07,,584,5310,0.91,0.85,43.932,8.91,02h10m08.32s,-31d04m14.26s
357,TOI-2641 b,TOI-2641,Transit,2023,4.880974,18.103,122.68177,1387,6100,1.16,1.34,344.045,11.693,11h24m31.29s,-42d43m55.70s
358,TOI-2669 b,TOI-2669,Transit,2022,6.2034,19.728,193.87533,,4800,1.19,4.1,393.443,10.916,08h58m53.43s,-13d18m45.29s
359,TOI-269 b,TOI-269,Transit,2021,3.6977104,2.77,8.8,531,3514,0.39,0.4,57.0225,14.37,05h03m23.11s,-54d10m39.80s
360,TOI-270 b,TOI-270,Transit,2019,3.3601538,1.206,1.58,581,3506,0.39,0.38,22.4793,12.603,04h33m39.86s,-51d57m26.62s
361,TOI-270 c,TOI-270,Transit,2019,5.6605731,2.355,6.15,488,3506,0.39,0.38,22.4793,12.603,04h33m39.86s,-51d57m26.62s
362,TOI-270 d,TOI-270,Transit,2019,11.379573,2.133,4.78,387,3506,0.39,0.38,22.4793,12.603,04h33m39.86s,-51d57m26.62s
363,TOI-277 b,TOI-277,Transit,2022,3.994,2.65,,,4031,0.16,0.36,64.6692,13.632,01h16m18.41s,-20d57m11.80s
364,TOI-2796 b,TOI-2796,Transit,2023,4.8084983,17.262,139.8445,1205,5764,1.06,1.07,350.343,12.475,05h36m36.65s,+00d53m46.60s
365,TOI-2803 A b,TOI-2803 A,Transit,2023,1.96229325,18.114,309.8827,1893,6280,1.12,1.25,494.818,12.537,06h12m27.54s,-23d29m32.98s
366,TOI-2818 b,TOI-2818,Transit,2023,4.039709,15.278,225.65817,1376,5721,0.98,1.23,312.674,11.937,07h56m14.36s,-35d07m00.16s
367,TOI-2842 b,TOI-2842,Transit,2023,3.5514058,12.845,117.59651,1471,5910,1.14,1.26,460.995,12.59,07h12m10.61s,-10d38m21.62s
368,TOI-286 b,TOI-286,Transit,2024,4.5117244,1.42,4.53,979,5152,0.83,0.78,59.2293,9.866,06h03m56.23s,-60d39m58.81s
369,TOI-286 c,TOI-286,Transit,2024,39.361826,1.88,3.72,475,5152,0.83,0.78,59.2293,9.866,06h03m56.23s,-60d39m58.81s
370,TOI-2977 b,TOI-2977,Transit,2023,2.3505614,13.159,533.95172,1544,5691,0.94,1.07,,12.6334,09h35m42.36s,-60d21m26.91s
371,TOI-3023 b,TOI-3023,Transit,2023,3.9014971,16.432,197.05361,1596,5760,1.12,1.67,389.916,12.252,11h01m15.80s,-72d21m24.14s
372,TOI-3071 b,TOI-3071,Transit,2024,1.266938,7.16,68.2,2155,6177,1.29,1.31,485.219,12.383,11h33m06.97s,-56d30m12.19s
373,TOI-3082 b,TOI-3082,Transit,2023,1.926907,3.662,,1033,4263,0.66,0.68,113.048,12.934,13h03m37.94s,-19d13m08.34s
374,TOI-3235 b,TOI-3235,Transit,2023,2.59261842,11.4,211.35589,604,3388.8,0.39,0.37,72.811,15.16,13h49m53.72s,-46d03m59.45s
375,TOI-3261 b,TOI-3261,Transit,2024,0.8831331,3.82,30.3,1722,5068,0.86,0.85,300.141,13.261,03h10m54.85s,-73d31m55.10s
376,TOI-329 b,TOI-329,Transit,2024,5.70439,4.941,40.4,1213,5614,1.07,1.53,284.388,11.262,23h25m17.06s,-15d38m04.67s
377,TOI-332 b,TOI-332,Transit,2023,0.777038,3.2,57.2,1871,5251,0.88,0.87,222.852,12.349,23h12m14.15s,-44d52m35.35s
378,TOI-3321 b,TOI-3321,Transit,2024,3.6525145,15.558,176.07694,1616,5850,1.04,1.55,285.895,11.076,17h43m02.48s,-65d00m29.71s
379,TOI-3331 A b,TOI-3331 A,Transit,2022,2.0180231,12.98,721.47048,1488,5609,1.02,0.95,217.193,11.635,18h05m17.80s,-34d06m25.82s
380,TOI-3353.01,TOI-3353,Transit,2024,4.6657965,2.667,,1264,6365,1.33,1.02,78.7577,9.327,07h06m07.16s,-75d49m10.41s
381,TOI-3362 b,TOI-3362,Transit,2021,18.09547,12.801,1598.35906,,6532,1.45,1.83,366.987,10.86,10h23m56.19s,-56d50m35.22s
382,TOI-3364 b,TOI-3364,Transit,2023,5.8768918,12.229,530.77344,1264,5706,1.19,1.42,277.899,11.875,09h38m09.07s,-49d20m06.80s
383,TOI-3540 A b,TOI-3540 A,Transit,2022,3.119999,23.539,375.03752,1498,5810,1.08,1.23,,11.514,21h55m38.73s,+28d10m46.20s
384,TOI-3629 b,TOI-3629,Transit,2022,3.936551,8.295,82.63539,690,3870,0.63,0.6,130.091,14.639,23h59m10.41s,+39d18m51.32s
385,TOI-3688 A b,TOI-3688 A,Transit,2023,3.246075,13.081,311.47184,1534,5950,1.2,1.3,396.378,12.241,02h37m07.76s,+54d51m04.37s
386,TOI-3693 b,TOI-3693,Transit,2022,9.088516,12.599,324.18498,801,5321,0.87,0.79,176.436,11.948,01h02m37.05s,+51d18m14.01s
387,TOI-3714 b,TOI-3714,Transit,2022,2.154849,11.321,222.47988,750,3660,0.53,0.51,112.71,15.7,04h38m12.56s,+39d27m28.81s
388,TOI-3757 b,TOI-3757,Transit,2022,3.438753,12,85.3,759,3913,0.64,0.62,181.139,14.812,06h04m00.87s,+55d01m11.93s
389,TOI-3785 b,TOI-3785,Transit,2023,4.6747373,5.14,14.95,582,3576,0.52,0.5,79.7634,14.595,08h43m36.05s,+63d04m41.08s
390,TOI-3807 b,TOI-3807,Transit,2023,2.8989727,18.495,330.54154,1646,5772,1.18,1.47,421.745,11.856,09h16m27.02s,+69d04m26.86s
391,TOI-3819 b,TOI-3819,Transit,2023,3.2443141,13.137,352.78953,1633,5859,1.24,1.54,558.141,12.542,08h07m27.18s,+29d23m19.12s
392,TOI-3884 b,TOI-3884,Transit,2022,4.5445828,6.43,32.59,441,3180,0.3,0.3,43.1448,15.744,12h06m17.24s,+12d30m25.29s
393,TOI-3894 b,TOI-3894,Transit,2024,4.33454,15.278,260.61929,1531,6000,1.14,1.5,417.365,11.992,13h25m29.96s,+52d46m05.17s
394,TOI-3912 b,TOI-3912,Transit,2023,3.4936264,14.28,129.03833,1512,5725,1.09,1.39,465.992,12.507,14h23m12.36s,+24d04m35.63s
395,TOI-3919 b,TOI-3919,Transit,2024,7.433234,12.319,1233.17422,1198,6100,1.21,1.32,604.591,12.858,13h55m46.74s,+40d23m30.50s
396,TOI-3976 A b,TOI-3976 A,Transit,2023,6.607662,12.274,55.61997,1295,5975,1.25,1.5,516.087,12.403,14h57m25.44s,+44d16m27.56s
397,TOI-3984 A b,TOI-3984 A,Transit,2023,4.353326,7.9,44,563,3476,0.49,0.47,108.883,15.694,15h05m20.92s,+36d47m13.11s
398,TOI-4010 b,TOI-4010,Transit,2023,1.348335,3.02,11,1441,4960,0.88,0.83,177.504,12.291,01h20m51.56s,+66d04m19.92s
399,TOI-4010 c,TOI-4010,Transit,2023,5.414654,5.93,20.31,907,4960,0.88,0.83,177.504,12.291,01h20m51.56s,+66d04m19.92s
400,TOI-4010 d,TOI-4010,Transit,2023,14.70886,6.18,38.15,650,4960,0.88,0.83,177.504,12.291,01h20m51.56s,+66d04m19.92s
401,TOI-406.01,TOI-406,Transit,2024,13.1757294,1.96,,344,3349,0.48,0.39,31.0597,13.773,03h17m03.03s,-42d14m38.94s
402,TOI-4087 b,TOI-4087,Transit,2023,3.1774835,13.047,232.01474,1458,6060,1.18,1.11,301.676,12.107,14h31m42.19s,+83d22m21.74s
403,TOI-411 b,HD 22946,Transit,2022,4.040295,1.362,13.71,1241,6169,1.1,1.12,62.7792,8.270001,03h39m16.69s,-42d45m46.90s
404,TOI-411 c,HD 22946,Transit,2022,9.573083,2.328,9.72,931,6169,1.1,1.12,62.7792,8.270001,03h39m16.69s,-42d45m46.90s
405,TOI-4127 b,TOI-4127,Transit,2023,56.39879,12.285,731.00534,605,6096,1.23,1.29,319.632,11.441,07h01m37.09s,+72d24m53.75s
406,TOI-4137 b,TOI-4137,Transit,2022,3.8016122,13.574,457.67291,1570,6202,1.31,1.44,334.993,11.31,05h10m27.09s,+70d23m27.88s
407,TOI-4145 A b,TOI-4145 A,Transit,2023,4.0664428,13.305,136.66622,1074,5281,0.91,0.86,205.387,12.084,02h37m43.14s,+80d16m02.58s
408,TOI-4153 b,TOI-4153,Transit,2024,4.6174141,16.119,365.50267,1669,6860,1.57,1.6,423.84,11.601,22h21m34.43s,+82d12m57.89s
409,TOI-4184 b,TOI-4184,Transit,2023,4.9019804,2.43,,412,3238,0.21,0.23,69.3649,17.12,02h55m18.83s,-79d24m52.93s
410,TOI-4201 b,TOI-4201,Transit,2023,3.5819194,13.675,788.21445,725,3794,0.61,0.63,189.011,15.163,06h01m53.93s,-13d27m40.94s
411,TOI-421 b,TOI-421,Transit,2020,5.197576,2.64,6.7,922,5291,0.83,0.87,74.7969,9.931,05h27m24.79s,-14d16m36.27s
412,TOI-421 c,TOI-421,Transit,2020,16.067541,5.09,14.1,635,5291,0.83,0.87,74.7969,9.931,05h27m24.79s,-14d16m36.27s
